family,category_id,baseline_rank,rank_p025,rank_median,rank_p975,top20_fraction
core,N0001,452.0,442.0,453.0,461.0,0.0
core,N0002,490.0,490.0,491.0,492.0,0.0
core,N0003,309.0,295.0,310.0,322.0,0.0
core,N0004,382.0,369.0,383.0,395.52499999999986,0.0
core,N0005,398.0,381.0,398.0,410.0,0.0
core,N0006,195.0,180.0,195.0,214.52499999999986,0.0
core,N0007,6.0,4.0,6.0,6.0,1.0
core,N0008,37.0,32.0,37.0,40.0,0.0
core,N0009,215.0,199.0,214.0,239.0,0.0
core,N0010,454.0,444.0,455.0,463.0,0.0
core,N0011,319.0,307.0,318.0,326.0,0.0
core,N0012,496.0,495.0,496.0,496.0,0.0
core,N0013,13.0,12.0,13.0,14.0,1.0
core,N0014,493.0,491.0,493.0,494.0,0.0
core,N0015,239.0,229.0,239.0,254.0,0.0
core,N0016,157.0,146.0,157.0,171.0,0.0
core,N0017,198.0,191.0,198.0,208.0,0.0
core,N0018,387.0,380.0,387.0,391.0,0.0
core,N0019,17.0,15.0,17.0,19.0,1.0
core,N0020,354.0,342.0,354.0,362.0,0.0
core,N0021,7.0,7.0,7.0,8.0,1.0
core,N0022,333.0,322.0,333.0,345.0,0.0
core,N0023,362.0,360.0,362.0,363.0,0.0
core,N0024,383.0,365.0,384.0,400.0,0.0
core,N0025,126.0,118.0,126.0,137.0,0.0
core,N0026,322.0,311.0,322.0,332.0,0.0
core,N0027,200.0,193.0,200.0,215.0,0.0
core,N0028,212.0,201.0,213.0,224.0,0.0
core,N0029,389.0,374.0,387.0,398.0,0.0
core,N0030,169.0,157.0,169.0,178.0,0.0
core,N0031,245.0,237.0,245.0,252.0,0.0
core,N0032,162.0,148.0,164.0,173.0,0.0
core,N0033,11.0,10.0,11.0,11.0,1.0
core,N0034,114.0,108.0,114.0,122.0,0.0
core,N0035,326.0,314.0,326.0,334.0,0.0
core,N0036,330.0,324.0,329.0,334.0,0.0
core,N0037,39.0,35.0,39.0,41.0,0.0
core,N0038,62.0,47.0,62.0,77.0,0.0
core,N0039,172.0,159.0,172.0,181.52499999999986,0.0
core,N0040,283.0,278.0,282.0,287.0,0.0
core,N0041,58.0,53.0,58.0,64.0,0.0
core,N0042,431.0,415.0,431.0,449.0,0.0
core,N0043,80.0,72.0,78.0,82.0,0.0
core,N0044,271.0,266.0,272.0,279.0,0.0
core,N0045,470.0,467.0,470.0,472.0,0.0
core,N0046,218.0,213.0,218.0,224.0,0.0
core,N0047,123.0,107.0,122.0,133.0,0.0
core,N0048,366.0,364.0,366.0,371.0,0.0
core,N0049,433.0,412.0,433.0,452.0,0.0
core,N0050,31.0,29.0,31.0,37.0,0.0
core,N0051,406.0,404.0,406.0,408.0,0.0
core,N0052,492.0,490.0,491.0,492.0,0.0
core,N0053,151.0,140.0,150.0,164.0,0.0
core,N0054,243.0,237.0,244.0,253.0,0.0
core,N0055,486.0,483.0,486.0,486.0,0.0
core,N0056,450.0,434.0,450.0,464.0,0.0
core,N0057,429.0,425.0,429.0,431.0,0.0
core,N0058,251.0,243.0,249.0,254.0,0.0
core,N0059,415.0,411.0,415.0,420.0,0.0
core,N0060,52.0,49.0,53.0,61.0,0.0
core,N0061,42.0,41.0,43.0,44.0,0.0
core,N0062,119.0,108.0,119.0,126.0,0.0
core,N0063,54.0,49.0,55.0,61.0,0.0
core,N0064,21.0,20.0,22.0,24.0,0.06933333333333333
core,N0065,183.0,182.0,185.0,189.0,0.0
core,N0066,320.0,314.0,320.0,326.0,0.0
core,N0067,307.0,296.0,308.0,321.0,0.0
core,N0068,140.0,128.0,139.0,150.0,0.0
core,N0069,499.0,499.0,499.0,499.0,0.0
core,N0070,27.0,21.0,27.0,31.0,0.004666666666666667
core,N0071,288.0,269.0,289.0,304.0,0.0
core,N0072,487.0,486.0,487.0,487.0,0.0
core,N0073,483.0,481.0,483.0,485.0,0.0
core,N0074,419.0,408.0,419.0,432.52499999999986,0.0
core,N0075,439.0,436.0,440.0,444.0,0.0
core,N0076,247.0,243.0,247.0,251.0,0.0
core,N0077,46.0,41.0,46.0,53.0,0.0
core,N0078,117.0,103.0,117.0,131.0,0.0
core,N0079,363.0,356.0,364.0,369.0,0.0
core,N0080,460.0,449.0,460.0,462.0,0.0
core,N0081,92.0,82.0,93.0,106.0,0.0
core,N0082,161.0,146.0,161.0,171.0,0.0
core,N0083,84.0,71.0,84.0,92.0,0.0
core,N0084,85.0,68.0,84.0,94.0,0.0
core,N0085,400.0,383.0,400.0,411.0,0.0
core,N0086,137.0,125.0,136.0,150.0,0.0
core,N0087,276.0,265.0,275.0,286.0,0.0
core,N0088,213.0,204.0,213.0,220.0,0.0
core,N0089,407.0,407.0,409.0,414.0,0.0
core,N0090,357.0,340.0,356.0,365.0,0.0
core,N0091,497.0,497.0,497.0,497.0,0.0
core,N0092,49.0,46.0,49.0,52.0,0.0
core,N0093,456.0,444.0,456.0,461.0,0.0
core,N0094,106.0,104.0,106.0,120.52499999999986,0.0
core,N0095,300.0,291.0,300.0,310.0,0.0
core,N0096,378.0,368.0,379.0,390.0,0.0
core,N0097,176.0,172.0,175.0,178.0,0.0
core,N0098,423.0,413.0,422.0,428.0,0.0
core,N0099,455.0,447.0,454.0,459.0,0.0
core,N0100,457.0,447.0,455.0,462.0,0.0
core,N0101,318.0,302.0,318.0,333.0,0.0
core,N0102,61.0,52.0,61.0,69.0,0.0
core,N0103,381.0,371.0,382.0,390.0,0.0
core,N0104,451.0,446.0,451.0,456.0,0.0
core,N0105,396.0,394.0,398.0,403.0,0.0
core,N0106,367.0,365.0,367.0,374.0,0.0
core,N0107,131.0,126.0,132.0,139.0,0.0
core,N0108,447.0,442.0,447.0,450.0,0.0
core,N0109,224.0,216.0,222.0,229.0,0.0
core,N0110,134.0,127.0,134.0,143.0,0.0
core,N0111,150.0,138.0,151.0,171.0,0.0
core,N0112,173.0,166.0,172.0,177.0,0.0
core,N0113,120.0,102.0,119.0,133.0,0.0
core,N0114,278.0,261.0,276.0,290.0,0.0
core,N0115,78.0,70.0,77.0,83.0,0.0
core,N0116,428.0,417.0,428.0,437.0,0.0
core,N0117,179.0,175.475,181.0,186.0,0.0
core,N0118,77.0,72.0,76.0,79.0,0.0
core,N0119,65.0,62.0,65.0,68.52499999999986,0.0
core,N0120,133.0,114.0,133.0,153.0,0.0
core,N0121,40.0,40.0,41.0,43.0,0.0
core,N0122,325.0,317.0,325.0,328.0,0.0
core,N0123,51.0,49.0,51.0,55.0,0.0
core,N0124,120.0,111.0,119.0,124.0,0.0
core,N0125,205.0,196.0,206.0,216.0,0.0
core,N0126,34.0,34.0,35.0,36.0,0.0
core,N0127,336.0,325.0,337.0,353.0,0.0
core,N0128,93.0,88.0,93.0,103.0,0.0
core,N0129,303.0,298.0,303.0,309.52499999999986,0.0
core,N0130,424.0,415.0,424.0,433.0,0.0
core,N0131,203.0,195.0,203.0,221.0,0.0
core,N0132,448.0,441.0,448.0,454.0,0.0
core,N0133,265.0,256.0,264.0,272.0,0.0
core,N0134,294.0,283.475,294.0,302.0,0.0
core,N0135,402.0,399.0,402.0,404.0,0.0
core,N0136,344.0,332.0,344.0,355.0,0.0
core,N0137,149.0,144.0,151.0,159.0,0.0
core,N0138,89.0,74.0,89.0,98.0,0.0
core,N0139,266.0,257.0,265.0,278.0,0.0
core,N0140,438.0,422.0,437.0,453.0,0.0
core,N0141,329.0,317.0,329.0,337.52499999999986,0.0
core,N0142,422.0,409.0,421.0,434.0,0.0
core,N0143,41.0,39.0,42.0,46.0,0.0
core,N0144,236.0,218.0,235.0,249.0,0.0
core,N0145,299.0,296.0,300.0,307.0,0.0
core,N0146,55.0,53.0,56.0,59.0,0.0
core,N0147,4.0,3.0,4.0,5.0,1.0
core,N0148,372.0,370.0,372.0,379.0,0.0
core,N0149,233.0,223.0,234.0,242.0,0.0
core,N0150,404.0,398.0,403.0,414.0,0.0
core,N0151,391.0,382.0,390.0,395.0,0.0
core,N0152,485.0,484.0,485.0,486.0,0.0
core,N0153,412.0,408.0,412.0,421.0,0.0
core,N0154,315.0,305.0,315.0,327.0,0.0
core,N0155,175.0,162.0,174.0,181.0,0.0
core,N0156,73.0,67.0,72.0,79.0,0.0
core,N0157,204.0,200.0,205.0,211.0,0.0
core,N0158,488.0,488.0,488.0,488.0,0.0
core,N0159,427.0,412.0,427.0,442.0,0.0
core,N0160,14.0,13.0,15.0,20.0,0.9973333333333333
core,N0161,87.0,80.0,87.0,92.0,0.0
core,N0162,128.0,120.0,128.0,137.0,0.0
core,N0163,244.0,235.0,244.0,253.0,0.0
core,N0164,207.0,192.0,206.0,220.0,0.0
core,N0165,186.0,177.0,186.0,198.0,0.0
core,N0166,20.0,15.0,20.0,26.0,0.6766666666666666
core,N0167,409.0,402.0,409.0,425.52499999999986,0.0
core,N0168,356.0,354.0,357.0,358.0,0.0
core,N0169,53.0,50.0,55.0,60.0,0.0
core,N0170,22.0,19.0,22.0,25.524999999999864,0.10933333333333334
core,N0171,122.0,105.0,122.0,135.0,0.0
core,N0172,8.0,7.0,8.0,8.0,1.0
core,N0173,340.0,328.0,340.0,354.0,0.0
core,N0174,477.0,472.0,477.0,478.0,0.0
core,N0175,48.0,45.0,48.0,55.0,0.0
core,N0176,351.0,344.0,350.0,352.0,0.0
core,N0177,258.0,254.0,257.0,260.0,0.0
core,N0178,419.0,406.0,419.0,432.0,0.0
core,N0179,160.0,155.0,160.0,164.0,0.0
core,N0180,152.0,136.0,152.0,163.0,0.0
core,N0181,268.0,258.475,268.0,282.0,0.0
core,N0182,375.0,365.0,377.0,387.0,0.0
core,N0183,10.0,9.0,10.0,11.0,1.0
core,N0184,284.0,278.0,284.0,286.0,0.0
core,N0185,238.0,233.0,238.0,243.0,0.0
core,N0186,129.0,111.0,128.0,145.0,0.0
core,N0187,482.0,481.0,482.0,484.0,0.0
core,N0188,491.0,490.0,491.0,493.0,0.0
core,N0189,75.0,68.0,75.0,87.0,0.0
core,N0190,370.0,368.0,370.5,377.0,0.0
core,N0191,44.0,39.0,43.0,51.0,0.0
core,N0192,217.0,207.0,217.0,231.52499999999986,0.0
core,N0193,60.0,48.0,60.0,73.0,0.0
core,N0194,112.0,108.0,113.0,124.0,0.0
core,N0195,38.0,36.0,38.0,38.0,0.0
core,N0196,259.0,243.0,258.0,269.0,0.0
core,N0197,144.0,135.0,145.0,158.0,0.0
core,N0198,375.0,375.0,378.0,380.0,0.0
core,N0199,297.0,292.0,296.0,302.0,0.0
core,N0200,403.0,399.0,403.0,411.0,0.0
core,N0201,346.0,340.0,346.0,352.0,0.0
core,N0202,125.0,123.0,125.0,129.0,0.0
core,N0203,124.0,112.0,124.0,135.0,0.0
core,N0204,70.0,65.0,72.0,81.0,0.0
core,N0205,86.0,82.0,85.0,87.0,0.0
core,N0206,184.0,176.0,184.0,196.0,0.0
core,N0207,500.0,500.0,500.0,500.0,0.0
core,N0208,163.0,155.0,164.0,170.0,0.0
core,N0209,260.0,252.0,260.0,264.0,0.0
core,N0210,159.0,140.0,159.0,173.0,0.0
core,N0211,76.0,63.0,76.0,88.0,0.0
core,N0212,463.0,456.0,463.0,465.0,0.0
core,N0213,237.0,233.0,238.0,244.0,0.0
core,N0214,282.0,278.0,281.0,285.0,0.0
core,N0215,193.0,189.0,193.0,196.0,0.0
core,N0216,231.0,220.0,231.0,239.0,0.0
core,N0217,132.0,121.0,132.0,145.0,0.0
core,N0218,498.0,498.0,498.0,498.0,0.0
core,N0219,68.0,64.0,71.0,82.0,0.0
core,N0220,246.0,229.0,246.0,259.0,0.0
core,N0221,148.0,130.0,150.0,165.0,0.0
core,N0222,74.0,71.0,75.0,80.0,0.0
core,N0223,418.0,405.0,419.0,436.0,0.0
core,N0224,261.0,254.0,261.0,271.52499999999986,0.0
core,N0225,392.0,383.0,392.0,397.0,0.0
core,N0226,154.0,148.0,153.0,157.0,0.0
core,N0227,393.0,385.0,393.0,400.0,0.0
core,N0228,33.0,31.0,33.0,34.0,0.0
core,N0229,489.0,489.0,489.0,489.0,0.0
core,N0230,43.0,39.0,43.0,47.0,0.0
core,N0231,79.0,71.0,77.0,83.0,0.0
core,N0232,255.0,251.0,255.0,261.0,0.0
core,N0233,360.0,353.0,359.0,364.0,0.0
core,N0234,474.0,474.0,475.0,476.0,0.0
core,N0235,385.0,374.0,384.0,393.0,0.0
core,N0236,459.0,440.0,459.0,464.0,0.0
core,N0237,314.0,311.0,314.0,319.0,0.0
core,N0238,317.0,313.0,317.0,323.0,0.0
core,N0239,361.0,357.0,361.0,363.0,0.0
core,N0240,384.0,374.0,384.0,393.0,0.0
core,N0241,342.0,340.0,343.0,348.0,0.0
core,N0242,467.0,463.0,467.0,468.0,0.0
core,N0243,3.0,3.0,3.0,4.0,1.0
core,N0244,25.0,23.0,25.0,28.0,0.0
core,N0245,390.0,385.0,389.0,393.0,0.0
core,N0246,45.0,44.0,45.0,46.0,0.0
core,N0247,242.0,235.0,243.0,251.0,0.0
core,N0248,168.0,162.0,167.0,171.0,0.0
core,N0249,309.0,296.0,310.0,321.0,0.0
core,N0250,127.0,112.0,128.0,142.0,0.0
core,N0251,111.0,107.0,113.0,120.0,0.0
core,N0252,189.0,181.0,189.0,197.0,0.0
core,N0253,425.0,419.0,424.0,428.0,0.0
core,N0254,70.0,68.0,71.0,82.0,0.0
core,N0255,97.0,89.0,98.0,104.0,0.0
core,N0256,81.0,76.0,80.0,83.0,0.0
core,N0257,171.0,153.0,170.0,184.0,0.0
core,N0258,221.0,205.0,221.0,231.0,0.0
core,N0259,165.0,153.0,165.0,175.0,0.0
core,N0260,335.0,323.0,336.0,350.0,0.0
core,N0261,408.0,392.0,408.0,426.0,0.0
core,N0262,264.0,257.0,264.0,276.0,0.0
core,N0263,147.0,131.0,147.0,159.0,0.0
core,N0264,12.0,12.0,12.0,14.0,1.0
core,N0265,82.0,70.0,83.0,92.0,0.0
core,N0266,471.0,469.0,471.0,473.0,0.0
core,N0267,208.0,203.0,207.0,213.0,0.0
core,N0268,16.0,14.0,16.0,17.0,1.0
core,N0269,36.0,31.0,36.0,39.0,0.0
core,N0270,273.0,269.0,274.0,279.0,0.0
core,N0271,328.0,319.0,327.0,331.52499999999986,0.0
core,N0272,91.0,86.0,90.0,96.0,0.0
core,N0273,331.0,329.0,332.0,335.0,0.0
core,N0274,197.0,189.0,196.0,203.0,0.0
core,N0275,96.0,91.0,97.0,105.0,0.0
core,N0276,116.0,110.0,115.0,123.0,0.0
core,N0277,138.0,130.0,138.0,148.0,0.0
core,N0278,141.0,129.0,141.0,155.0,0.0
core,N0279,289.0,284.0,290.0,294.0,0.0
core,N0280,185.0,181.0,186.0,191.0,0.0
core,N0281,435.0,418.0,434.0,450.0,0.0
core,N0282,352.0,337.0,352.0,358.0,0.0
core,N0283,196.0,185.0,195.0,206.0,0.0
core,N0284,214.0,198.0,214.0,228.0,0.0
core,N0285,359.0,352.0,358.0,364.0,0.0
core,N0286,305.0,298.0,304.0,308.0,0.0
core,N0287,59.0,55.0,59.0,61.0,0.0
core,N0288,156.0,148.0,155.0,163.0,0.0
core,N0289,453.0,447.0,454.0,457.0,0.0
core,N0290,296.0,288.0,296.0,311.0,0.0
core,N0291,306.0,296.0,303.5,310.0,0.0
core,N0292,26.0,22.0,27.0,30.0,0.0
core,N0293,181.0,167.0,181.0,191.0,0.0
core,N0294,177.0,167.0,176.0,180.0,0.0
core,N0295,347.0,331.0,346.0,358.0,0.0
core,N0296,276.0,271.0,276.0,280.0,0.0
core,N0297,250.0,242.0,249.0,254.0,0.0
core,N0298,484.0,483.0,484.0,486.0,0.0
core,N0299,190.0,180.0,191.0,203.0,0.0
core,N0300,100.0,93.0,99.0,103.0,0.0
core,N0301,272.0,265.0,274.0,283.0,0.0
core,N0302,380.0,369.0,381.0,394.0,0.0
core,N0303,158.0,151.0,158.0,166.52499999999986,0.0
core,N0304,445.0,434.0,444.0,455.0,0.0
core,N0305,68.0,61.0,70.0,86.0,0.0
core,N0306,338.0,331.0,337.0,351.0,0.0
core,N0307,178.0,164.475,178.0,184.0,0.0
core,N0308,444.0,434.475,443.0,452.0,0.0
core,N0309,291.0,285.475,291.0,294.0,0.0
core,N0310,170.0,159.475,170.0,179.0,0.0
core,N0311,275.0,266.0,275.0,284.0,0.0
core,N0312,155.0,145.0,154.0,160.0,0.0
core,N0313,235.0,217.0,235.0,253.0,0.0
core,N0314,394.0,389.0,394.0,398.0,0.0
core,N0315,1.0,1.0,1.0,1.0,1.0
core,N0316,67.0,61.0,66.0,71.0,0.0
core,N0317,281.0,264.475,281.0,292.0,0.0
core,N0318,432.0,420.0,432.0,443.0,0.0
core,N0319,136.0,127.0,136.0,146.0,0.0
core,N0320,5.0,4.0,5.0,6.0,1.0
core,N0321,365.0,359.0,365.0,378.0,0.0
core,N0322,32.0,28.0,32.0,38.0,0.0
core,N0323,466.0,458.0,466.0,469.0,0.0
core,N0324,226.0,215.0,226.0,233.0,0.0
core,N0325,57.0,50.0,57.0,65.0,0.0
core,N0326,234.0,220.0,234.0,245.0,0.0
core,N0327,164.0,154.0,164.0,177.0,0.0
core,N0328,434.0,430.0,434.0,437.0,0.0
core,N0329,285.0,277.0,285.0,293.0,0.0
core,N0330,479.0,477.0,479.0,480.0,0.0
core,N0331,18.0,13.0,18.0,21.0,0.962
core,N0332,103.0,88.0,103.0,123.0,0.0
core,N0333,401.0,387.0,400.0,408.0,0.0
core,N0334,139.0,132.0,138.0,142.0,0.0
core,N0335,28.0,21.0,27.0,31.0,0.004666666666666667
core,N0336,494.0,493.0,494.0,494.0,0.0
core,N0337,146.0,139.0,145.0,153.0,0.0
core,N0338,440.0,437.0,440.0,444.0,0.0
core,N0339,192.0,183.0,193.0,200.0,0.0
core,N0340,368.0,366.0,368.0,372.0,0.0
core,N0341,474.0,474.0,475.0,476.0,0.0
core,N0342,395.0,393.0,396.0,400.0,0.0
core,N0343,105.0,95.0,104.0,122.0,0.0
core,N0344,153.0,132.0,152.0,169.0,0.0
core,N0345,341.0,338.0,342.0,347.0,0.0
