family,scenario,category_id,name,selected,core_papers,recent_papers,multiyear_share_ratio,share_growth_ratio,historical_peak_ratio,score
core,annual_volume=250,C0713,电价预测,False,341,171,1.6813748306746594,1.4060655028112772,1.4060655028112772,44.817026194144844
core,annual_volume=250,C0725,废塑料回收与转化,False,382,181,1.2667219977378972,1.3264534407811992,1.1113991589244985,51.120955315870575
core,annual_volume=400,C0060,超级电容器电极与器件,True,9225,3189,0.8163958554048202,0.8040360797794177,0.7940427147024803,98.9060092449923
core,annual_volume=400,C0067,钙钛矿太阳能电池界面与器件性能,True,8342,2930,0.8255564387053278,0.8164809950755912,0.8164809950755912,97.48073959938368
core,annual_volume=400,C0091,等离子体湍流与不稳定性,False,1677,817,1.4981468897663068,1.4243465963687316,1.366228383475059,60.03081664098613
core,annual_volume=400,C0098,建筑与工业冷却节能,False,2120,1050,1.48090363932085,1.4896354108818262,1.313411122023526,69.69183359013869
core,annual_volume=400,C0122,热电材料与热电性能优化,True,6784,2530,0.8839452657529008,0.9157714707820448,0.844350306186973,92.6964560862866
core,annual_volume=400,C0155,电解水析氧催化,True,8501,3168,0.9341032608936916,0.8815747493183806,0.8815747493183806,98.21263482280432
core,annual_volume=400,C0169,电池荷电状态健康状态与建模,True,3688,1583,1.215037163013985,1.0177315407559444,1.0177315407559444,87.90446841294299
core,annual_volume=400,C0186,煤热解气化与煤质特性,False,2295,1166,1.4540163275718156,1.7143311071490004,1.179193458457365,73.96764252696457
core,annual_volume=400,C0191,固态储氢材料与反应器,True,4130,1883,1.3642024178136134,1.2038379709870957,1.2038379709870957,93.18952234206472
core,annual_volume=400,C0210,地热资源开发与换热,False,2773,1376,1.5050028945736893,1.4260598590712277,1.4260598590712277,74.89214175654854
core,annual_volume=400,C0216,电力可靠性与电气安全,False,1691,849,1.4761439300561685,1.492985283114308,1.3647258968951717,58.659476117103246
core,annual_volume=400,C0245,碳基超级电容器电极,True,3401,1182,0.7846982701636597,0.8207528908168754,0.7294090983736239,90.4160246533128
core,annual_volume=400,C0246,虚拟电厂资源聚合与调度,False,838,409,1.534586688487668,1.3254428765407194,1.3254428765407194,60.115562403698
core,annual_volume=400,C0251,充电站选址与充电调度,True,4232,1935,1.3440668482677849,1.191797691860569,1.191797691860569,87.52696456086288
core,annual_volume=400,C0254,电催化析氢与界面调控,True,7105,2826,1.0120780688099824,0.9740061323493576,0.9740061323493576,97.46533127889062
core,annual_volume=400,C0278,整体电催化水分解,True,5646,2050,0.8713491710270141,0.86267917918123,0.8622669112609365,97.20338983050848
core,annual_volume=400,C0294,电池管理与均衡控制,False,436,223,1.4059761327966191,1.5902277406154333,1.1527893542741778,42.804314329738055
core,annual_volume=400,C0348,智能电网信息安全与韧性,False,2863,1348,1.4800351701696377,1.259689799009449,1.259689799009449,78.17411402157165
core,annual_volume=400,C0381,光伏发电功率预测方法与装置,False,1046,525,1.6876313566282577,1.398272074392373,1.398272074392373,64.89984591679507
core,annual_volume=400,C0435,智能电表物联网与用能监测,False,2127,1085,1.5298727275775308,1.4695928795056847,1.42143352693126,64.22958397534669
core,annual_volume=400,C0443,建筑能效与居民供热用能,False,3699,1704,1.3732319381539142,1.2599497340327008,1.2599497340327008,84.0446841294299
core,annual_volume=400,C0473,二氧化碳地质封存与驱油,True,4231,1970,1.458064499153056,1.1933314278238298,1.1933314278238298,87.94298921417565
core,annual_volume=400,C0533,氮化镓功率与结器件,False,820,423,1.6411733053348834,1.5234027267175316,1.5234027267175316,57.56548536209554
core,annual_volume=400,C0534,氢能技术经济与生命周期,False,896,417,1.5117799799936882,1.156633002540099,1.156633002540099,68.1895223420647
core,annual_volume=400,C0542,光伏组件故障与缺陷检测,False,652,315,1.5008452064766622,1.3304796752503365,1.3304796752503365,58.00269645608629
core,annual_volume=400,C0556,水系锌离子电池,True,3731,1435,1.0551852723863595,0.8866233375943027,0.8866233375943027,90.70878274268108
core,annual_volume=400,C0566,蒸汽重整制氢与合成气,False,223,113,1.422404584647933,1.8516901734610685,1.2485527351324948,43.03351309707242
core,annual_volume=400,C0600,直接空气捕碳,False,348,164,1.5220342192135776,1.3486750741251028,1.3415111009372669,52.5173343605547
core,annual_volume=400,C0665,换热器结构与传热强化,False,443,213,1.4876406164596103,1.3313914701192275,1.3313914701192275,49.80739599383667
core,annual_volume=400,C0713,电价预测,False,341,171,1.6813748306746594,1.4060655028112772,1.4060655028112772,44.817026194144844
core,annual_volume=400,C0725,废塑料回收与转化,False,382,181,1.2667219977378972,1.3264534407811992,1.1113991589244985,51.120955315870575
core,year_fraction=0.67,C0060,超级电容器电极与器件,True,9225,3189,0.8163958554048202,0.8040360797794177,0.7940427147024803,98.9060092449923
core,year_fraction=0.67,C0067,钙钛矿太阳能电池界面与器件性能,True,8342,2930,0.8255564387053278,0.8164809950755912,0.8164809950755912,97.48073959938368
core,year_fraction=0.67,C0091,等离子体湍流与不稳定性,False,1677,817,1.4981468897663068,1.4243465963687316,1.366228383475059,60.03081664098613
core,year_fraction=0.67,C0098,建筑与工业冷却节能,False,2120,1050,1.48090363932085,1.4896354108818262,1.313411122023526,69.69183359013869
core,year_fraction=0.67,C0122,热电材料与热电性能优化,True,6784,2530,0.8839452657529008,0.9157714707820448,0.844350306186973,92.6964560862866
core,year_fraction=0.67,C0155,电解水析氧催化,True,8501,3168,0.9341032608936916,0.8815747493183806,0.8815747493183806,98.21263482280432
core,year_fraction=0.67,C0169,电池荷电状态健康状态与建模,True,3688,1583,1.215037163013985,1.0177315407559444,1.0177315407559444,87.90446841294299
core,year_fraction=0.67,C0186,煤热解气化与煤质特性,False,2295,1166,1.4540163275718156,1.7143311071490004,1.179193458457365,73.96764252696457
core,year_fraction=0.67,C0191,固态储氢材料与反应器,True,4130,1883,1.3642024178136134,1.2038379709870957,1.2038379709870957,93.18952234206472
core,year_fraction=0.67,C0210,地热资源开发与换热,False,2773,1376,1.5050028945736893,1.4260598590712277,1.4260598590712277,74.89214175654854
core,year_fraction=0.67,C0216,电力可靠性与电气安全,False,1691,849,1.4761439300561685,1.492985283114308,1.3647258968951717,58.659476117103246
core,year_fraction=0.67,C0245,碳基超级电容器电极,True,3401,1182,0.7846982701636597,0.8207528908168754,0.7294090983736239,90.4160246533128
core,year_fraction=0.67,C0246,虚拟电厂资源聚合与调度,False,838,409,1.534586688487668,1.3254428765407194,1.3254428765407194,60.115562403698
core,year_fraction=0.67,C0251,充电站选址与充电调度,True,4232,1935,1.3440668482677849,1.191797691860569,1.191797691860569,87.52696456086288
core,year_fraction=0.67,C0254,电催化析氢与界面调控,True,7105,2826,1.0120780688099824,0.9740061323493576,0.9740061323493576,97.46533127889062
core,year_fraction=0.67,C0278,整体电催化水分解,True,5646,2050,0.8713491710270141,0.86267917918123,0.8622669112609365,97.20338983050848
core,year_fraction=0.67,C0294,电池管理与均衡控制,False,436,223,1.4059761327966191,1.5902277406154333,1.1527893542741778,42.804314329738055
core,year_fraction=0.67,C0348,智能电网信息安全与韧性,False,2863,1348,1.4800351701696377,1.259689799009449,1.259689799009449,78.17411402157165
core,year_fraction=0.67,C0381,光伏发电功率预测方法与装置,False,1046,525,1.6876313566282577,1.398272074392373,1.398272074392373,64.89984591679507
core,year_fraction=0.67,C0435,智能电表物联网与用能监测,False,2127,1085,1.5298727275775308,1.4695928795056847,1.42143352693126,64.22958397534669
core,year_fraction=0.67,C0443,建筑能效与居民供热用能,False,3699,1704,1.3732319381539142,1.2599497340327008,1.2599497340327008,84.0446841294299
core,year_fraction=0.67,C0473,二氧化碳地质封存与驱油,True,4231,1970,1.458064499153056,1.1933314278238298,1.1933314278238298,87.94298921417565
core,year_fraction=0.67,C0533,氮化镓功率与结器件,False,820,423,1.6411733053348834,1.5234027267175316,1.5234027267175316,57.56548536209554
core,year_fraction=0.67,C0534,氢能技术经济与生命周期,False,896,417,1.5117799799936882,1.156633002540099,1.156633002540099,68.1895223420647
core,year_fraction=0.67,C0542,光伏组件故障与缺陷检测,False,652,315,1.5008452064766622,1.3304796752503365,1.3304796752503365,58.00269645608629
core,year_fraction=0.67,C0556,水系锌离子电池,True,3731,1435,1.0551852723863595,0.8866233375943027,0.8866233375943027,90.70878274268108
core,year_fraction=0.67,C0566,蒸汽重整制氢与合成气,False,223,113,1.422404584647933,1.8516901734610685,1.2485527351324948,43.03351309707242
core,year_fraction=0.67,C0600,直接空气捕碳,False,348,164,1.5220342192135776,1.3486750741251028,1.3415111009372669,52.5173343605547
core,year_fraction=0.67,C0665,换热器结构与传热强化,False,443,213,1.4876406164596103,1.3313914701192275,1.3313914701192275,49.80739599383667
core,year_fraction=0.67,C0713,电价预测,False,341,171,1.6813748306746594,1.4060655028112772,1.4060655028112772,44.817026194144844
core,year_fraction=0.67,C0725,废塑料回收与转化,False,382,181,1.2667219977378972,1.3264534407811992,1.1113991589244985,51.120955315870575
core,year_fraction=1.0,C0060,超级电容器电极与器件,True,9225,3189,0.8163958554048202,0.8040360797794177,0.7940427147024803,98.9060092449923
core,year_fraction=1.0,C0067,钙钛矿太阳能电池界面与器件性能,True,8342,2930,0.8255564387053278,0.8164809950755912,0.8164809950755912,97.48073959938368
core,year_fraction=1.0,C0091,等离子体湍流与不稳定性,False,1677,817,1.4981468897663068,1.4243465963687316,1.366228383475059,60.03081664098613
core,year_fraction=1.0,C0098,建筑与工业冷却节能,False,2120,1050,1.48090363932085,1.4896354108818262,1.313411122023526,69.69183359013869
core,year_fraction=1.0,C0122,热电材料与热电性能优化,True,6784,2530,0.8839452657529008,0.9157714707820448,0.844350306186973,92.6964560862866
core,year_fraction=1.0,C0155,电解水析氧催化,True,8501,3168,0.9341032608936916,0.8815747493183806,0.8815747493183806,98.21263482280432
core,year_fraction=1.0,C0169,电池荷电状态健康状态与建模,True,3688,1583,1.215037163013985,1.0177315407559444,1.0177315407559444,87.90446841294299
core,year_fraction=1.0,C0186,煤热解气化与煤质特性,False,2295,1166,1.4540163275718156,1.7143311071490004,1.179193458457365,73.96764252696457
core,year_fraction=1.0,C0191,固态储氢材料与反应器,True,4130,1883,1.3642024178136134,1.2038379709870957,1.2038379709870957,93.18952234206472
core,year_fraction=1.0,C0210,地热资源开发与换热,False,2773,1376,1.5050028945736893,1.4260598590712277,1.4260598590712277,74.89214175654854
core,year_fraction=1.0,C0216,电力可靠性与电气安全,False,1691,849,1.4761439300561685,1.492985283114308,1.3647258968951717,58.659476117103246
core,year_fraction=1.0,C0245,碳基超级电容器电极,True,3401,1182,0.7846982701636597,0.8207528908168754,0.7294090983736239,90.4160246533128
core,year_fraction=1.0,C0246,虚拟电厂资源聚合与调度,False,838,409,1.534586688487668,1.3254428765407194,1.3254428765407194,60.115562403698
core,year_fraction=1.0,C0251,充电站选址与充电调度,True,4232,1935,1.3440668482677849,1.191797691860569,1.191797691860569,87.52696456086288
core,year_fraction=1.0,C0254,电催化析氢与界面调控,True,7105,2826,1.0120780688099824,0.9740061323493576,0.9740061323493576,97.46533127889062
core,year_fraction=1.0,C0278,整体电催化水分解,True,5646,2050,0.8713491710270141,0.86267917918123,0.8622669112609365,97.20338983050848
core,year_fraction=1.0,C0294,电池管理与均衡控制,False,436,223,1.4059761327966191,1.5902277406154333,1.1527893542741778,42.804314329738055
core,year_fraction=1.0,C0348,智能电网信息安全与韧性,False,2863,1348,1.4800351701696377,1.259689799009449,1.259689799009449,78.17411402157165
core,year_fraction=1.0,C0381,光伏发电功率预测方法与装置,False,1046,525,1.6876313566282577,1.398272074392373,1.398272074392373,64.89984591679507
core,year_fraction=1.0,C0435,智能电表物联网与用能监测,False,2127,1085,1.5298727275775308,1.4695928795056847,1.42143352693126,64.22958397534669
core,year_fraction=1.0,C0443,建筑能效与居民供热用能,False,3699,1704,1.3732319381539142,1.2599497340327008,1.2599497340327008,84.0446841294299
core,year_fraction=1.0,C0473,二氧化碳地质封存与驱油,True,4231,1970,1.458064499153056,1.1933314278238298,1.1933314278238298,87.94298921417565
core,year_fraction=1.0,C0533,氮化镓功率与结器件,False,820,423,1.6411733053348834,1.5234027267175316,1.5234027267175316,57.56548536209554
core,year_fraction=1.0,C0534,氢能技术经济与生命周期,False,896,417,1.5117799799936882,1.156633002540099,1.156633002540099,68.1895223420647
core,year_fraction=1.0,C0542,光伏组件故障与缺陷检测,False,652,315,1.5008452064766622,1.3304796752503365,1.3304796752503365,58.00269645608629
core,year_fraction=1.0,C0556,水系锌离子电池,True,3731,1435,1.0551852723863595,0.8866233375943027,0.8866233375943027,90.70878274268108
core,year_fraction=1.0,C0566,蒸汽重整制氢与合成气,False,223,113,1.422404584647933,1.8516901734610685,1.2485527351324948,43.03351309707242
core,year_fraction=1.0,C0600,直接空气捕碳,False,348,164,1.5220342192135776,1.3486750741251028,1.3415111009372669,52.5173343605547
core,year_fraction=1.0,C0665,换热器结构与传热强化,False,443,213,1.4876406164596103,1.3313914701192275,1.3313914701192275,49.80739599383667
core,year_fraction=1.0,C0713,电价预测,False,341,171,1.6813748306746594,1.4060655028112772,1.4060655028112772,44.817026194144844
core,year_fraction=1.0,C0725,废塑料回收与转化,False,382,181,1.2667219977378972,1.3264534407811992,1.1113991589244985,51.120955315870575
core,quarter_fraction=0.5,C0060,超级电容器电极与器件,True,9225,3189,0.8163958554048202,0.8040360797794177,0.7940427147024803,98.9060092449923
core,quarter_fraction=0.5,C0067,钙钛矿太阳能电池界面与器件性能,True,8342,2930,0.8255564387053278,0.8164809950755912,0.8164809950755912,97.48073959938368
core,quarter_fraction=0.5,C0091,等离子体湍流与不稳定性,False,1677,817,1.4981468897663068,1.4243465963687316,1.366228383475059,60.03081664098613
