category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status,patents_2026,patents_jan_may,active_patent_months,known_applicant_names,applicant_metadata_fraction,country_count,patent_review_decision,patent_review_reason,patent_review_pass,reviewed_policy_documents,reviewed_policy_points,policy_review_status,patent_literature_relative_share,jan_may_patent_relative_share,cross_label_papers_ytd,cross_label_patents_ytd,cross_label_relative_share,cross_label_jan_may_relative_share,potential_evidence_score,potential_numeric_gate,potential_priority,potential_review_category,potential_reason,potential_unit_ids,potential_selected_unit_ids,potential_evidence_tier,unified_patents,unified_papers,unified_applicants,unified_policy_groups,unified_relative_share,unified_matched_may_relative_share,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,38,418193,9.198027560635308e-05,33,337646,9.91062685454454e-05,30,294889,0.0001032973881001,27,259776,0.0001057078389089,24,242709,0.0001007882049003,38,33,0.9280974549473158,3,90,30.0,0.0001027038318515,0.8955875739800983,0.8701367519733949,-0.058018966359727,2,0,3,101,9.81279774173131e-05,0,0,0.0,48,130,45.0,1.065217391304348,0.3894110290882202,0.0001013794324096,0.9072873404412476,0.6222392687927065,0.7052868749440521,1.0,24.776579352850543,37.01078582434514,False,False,近期份额下降,2026Q2,1.2284490895361653,1.78681169724866,0.7577434099367897,0.8437157580513515,0.8927954989511349,0.9538393650629304,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,24,9.866977040148528e-05,40,0.0001285281778195,1.302609474984576,0.7577434099367897,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1772,1715,8,1063,0.9774266365688488,25,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,49.23386508339164,49.19400310481412,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,38.0,0.7631578947368421,0.3157894736842105,0.0789473684210526,1.0,0.0
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1575,418193,0.0037640240056573,1134,337646,0.0033563003482032,939,294889,0.0031818982334453,783,259776,0.0030117124285511,632,242709,0.002601981208142,1575,1134,1.1214800867486248,3,2856,952.0,0.0031833036700665,1.1824269362208517,1.1214800867486248,0.084005325971991,4,4,3,3648,0.0034340741957686,12,3,1.0,1948,3012,1253.0,1.5542264752791068,0.6354204295387003,0.0031998933555583,1.1762967034882783,1.106125530773685,1.004160485488367e-07,8.558185955866764e-07,93.7211093990755,72.442218798151,False,False,平稳或增长证据不足,2026Q2,1.1796093669462913,1.206707590262016,1.1777326945060524,1.1002228079280183,1.2320434565837783,1.1605881883516431,1.2193457316961878,1.1532504169325335,0.7381725333182875,0.8819710612701498,848,0.0034171959259453,1215,0.0038574321022132,1.1288296561883913,1.1002228079280183,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,30,27,8,29,0.9666666666666668,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0282278360756354,0.0262756940082501,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1575.0,0.9212698412698412,0.5384126984126985,0.1384126984126984,0.0057142857142857,0.0
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,254,418193,0.000608025458229,203,337646,0.0006020336014626,193,294889,0.0006553457245041,187,259776,0.0007207352652882,180,242709,0.0007425416728373,254,203,1.0099526949190565,3,583,194.33333333333331,0.0006593715304183,0.9221287698655112,0.8188435484107509,-0.0374730834395431,3,4,3,650,0.0006218015947319,12,3,1.0,259,665,280.0,0.9252669039145908,0.2822539056949417,0.0006536452907293,0.9302070509076632,0.8028527181301559,0.8342901767592349,1.0,49.98459167950694,43.64791987673344,False,False,历史峰值以下的恢复或波动,2026Q2,0.9621898235710844,0.9864612951875064,0.9459788514312574,1.006605074839546,0.9120483414031856,0.9821222224406304,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,141,0.0005698682657881,175,0.0005569554372179,0.9773406779330684,0.9120483414031856,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1452,1400,7,1047,0.9965564738292012,13,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,9.31047269614317,9.267923863635922,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,254.0,0.7047244094488189,0.0039370078740157,0.1220472440944882,1.0,0.0
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1168,418193,0.0027916610921045,839,337646,0.0024835735057881,770,294889,0.0026095290993822,655,259776,0.0025196904874476,686,242709,0.002824126639351,1168,839,1.124050117944322,3,2264,754.6666666666666,0.0025375976975393,1.1001196504913004,0.9885042169164346,0.0337335044094579,4,4,3,2777,0.0026282545657582,12,3,1.0,1319,2411,952.6666666666666,1.3841314225795176,0.3173364254671788,0.0025367262396856,1.1004975816588234,1.0254837122515217,0.0037908761367801,0.0165299831545645,74.24499229583977,65.86286594761171,True,False,历史峰值以下的恢复或波动,2026Q2,1.0585132054091697,1.095602386647982,1.1147440731194385,1.1417699237589651,1.1001985953116191,1.1088677141304066,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,609,0.0024546622473349,908,0.0028831567789886,1.1745635401037255,1.0585132054091697,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,1,1,1,1,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.001857372614737,0.0019175327603158,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1168.0,0.7491438356164384,0.3339041095890411,0.1857876712328767,1.0,0.0
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,705,418193,0.0016855086867605,634,337646,0.0018771023102114,561,294889,0.0019016879809255,510,259776,0.0019623218822914,426,242709,0.0017545375261226,705,634,0.8979311770015699,3,1705,568.3333333333334,0.0019137040578094,0.880757230922047,0.8589358871095987,-0.0603372466427281,0,4,3,1900,0.0018214329926325,12,3,1.0,954,1736,808.6666666666666,1.179497735693701,0.5818798804772546,0.0019105262096638,0.8822222266488127,0.8081175106253947,0.9974578378604336,1.0,76.15562403697997,31.20184899845917,True,False,近期份额下降,2026Q2,0.7989544286199017,0.8703986500286912,0.8787672555357322,0.8841219630926886,0.9098559820286196,0.9175220726953164,0.9310515135349722,0.9559039365839292,0.7381725333182875,0.8819710612701498,427,0.0017216868100667,547,0.0017375105520047,1.0091908364781954,0.7989544286199017,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,0,0,0,0,,0,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0010273503929915,0.0010606261873649,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,705.0,0.9319148936170212,0.5035460992907801,0.1361702127659574,0.1716312056737588,0.0
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,42,418193,0.0001015366678771,19,337646,5.7688723481677176e-05,22,294889,7.620299122141541e-05,18,259776,7.1112546175106e-05,15,242709,6.37639663655362e-05,42,19,1.7600782570512696,3,59,19.666666666666668,6.833475362606619e-05,1.4858715732372527,1.332449897958967,0.1435096381600846,3,0,3,83,7.84761275267452e-05,0,0,0.0,35,71,15.0,2.25,0.1383898537887059,6.665277600410447e-05,1.5233674269004251,1.027655181086692,0.0185045689560528,0.0673710034807748,15.570107858243452,86.80662557781201,False,False,多年背景上持续抬升,2026Q2,1.4694625281735136,2.377937371526412,1.758638081552594,2.145782291237866,1.2794702268918805,1.4974141278181865,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,15,6.242373229481721e-05,36,0.0001158340368003,1.855608957395392,1.2794702268918805,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,6,6,3,6,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.2003333266333496,0.206822106536172,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,42.0,0.4761904761904761,0.1666666666666666,0.238095238095238,1.0,0.0
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,673,418193,0.0016090575485942,672,337646,0.0019895213610988,590,294889,0.0019999051696109,606,259776,0.002331338338119,577,242709,0.0023757219726514,673,672,0.8087661585626448,3,1868,622.6666666666666,0.0021069216229429,0.7637007143847774,0.6772920262207547,-0.1087255650934126,2,4,3,1935,0.001866161359768,12,3,1.0,964,1715,790.3333333333334,1.2194608256107835,0.4959243813623796,0.0020931212094734,0.7687359629780095,0.7039146953245592,0.9999999978553428,1.0,72.75038520801233,26.14791987673344,False,False,近期份额下降,2026Q2,0.7483367295825872,0.7842766490697003,0.7289160800173469,0.7932520410218631,0.7454388826186887,0.828102700237032,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,524,0.0021123385541052,395,0.0012551331932746,0.5941913008382727,0.5941913008382727,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,18,17,5,17,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0526208611530367,0.0513887466887017,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,673.0,0.849925705794948,0.0445765230312035,0.0832095096582466,1.0,0.0
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,35,418193,8.481298140326065e-05,29,337646,8.727268424151162e-05,27,294889,9.313698927061884e-05,29,259776,0.0001133956817386,35,242709,0.0001460400519984,35,29,0.971815891081748,3,85,28.33333333333333,9.793511841693766e-05,0.8660119349852384,0.580751514688175,-0.0468113992954908,2,0,3,91,8.840755163846369e-05,0,0,0.0,47,111,38.0,1.2307692307692308,0.2057121024522713,9.5778358795814e-05,0.8855129955198963,0.5987412783781626,0.740515319447354,1.0,17.596302003081664,39.899845916795066,False,False,近期份额下降,2026Q2,0.8664451430017778,1.0622060320049638,0.8777795464950531,1.0478860945286277,0.8769361710297547,0.9611257961161684,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,22,9.061509526667016e-05,29,9.36192900166928e-05,1.033153358622883,0.8664451430017778,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1460,1412,8,934,0.9678082191780822,24,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,55.69449313951636,55.608720887121365,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,35.0,0.6857142857142857,0.3428571428571428,0.1714285714285714,1.0,0.0
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,3091,418193,0.0073858966762867,2668,337646,0.0078944799287618,2188,294889,0.0074120109461363,1839,259776,0.0070708934426544,1524,242709,0.0062714946273716,3091,2668,0.935577358221896,3,6695,2231.6666666666665,0.0074591281058508,0.9901823070304072,0.935577358221896,-0.0017647290160769,0,4,3,7947,0.0075641291837283,12,3,1.0,2356,3357,1587.3333333333333,1.4839454354669466,0.6295350153464906,0.0075003976762265,0.9847340094642268,0.9436472481950754,0.7555732369949628,1.0,98.28197226502311,43.82126348228043,True,False,近期份额下降,2026Q2,0.972599297688472,0.894123443683466,1.0067433409779285,0.9526150231818492,1.0263566631704146,0.9737042832114092,1.0356794334819353,0.9862721422209002,0.67899445157752,0.7204319529473151,1946,0.0078392125749588,2244,0.0071229998794056,0.9086371636558253,0.894123443683466,False,False,False,较早样本3711869为CO2解吸、3670372为析氧，4126822为电化学捕集，另含有机羧化；近期电还原支持明确，但三年整类数量不可统一解释为CO2电还原，退出多年核心并保留观察。,跨年范围待复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,10,8,5,10,1.0,4,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0052626247019025,0.0043982081705946,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,3091.0,0.947913296667745,0.2209640892914914,0.1025558071821417,0.1203494014881915,0.2869621481721126
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,1051,418193,0.0025121366181839,465,337646,0.0013771333733702,394,294889,0.0013360924460821,372,259776,0.0014318607270392,367,242709,0.0015118230735054,1051,465,1.824178156423504,3,1231,410.3333333333333,0.0013816955154972,1.8181550059383609,1.66166045631188,0.3156921822284992,4,4,3,1910,0.0017417874792121,12,3,1.0,1588,2297,702.6666666666666,2.258171482709616,0.3414281986183995,0.0013795444310765,1.820990003361848,1.677127836401817,5.3105531631276116e-48,4.9786435904321374e-46,68.25115562403698,95.0,False,False,多年背景上持续抬升,2026Q2,1.813694833311948,1.849506844520543,1.8009227451800849,1.807416729449581,1.8264138460345996,1.82102199821766,1.8636503974808856,1.8643291439752483,0.7381725333182875,0.8819710612701498,351,0.0014156091549437,900,0.0028577684969502,2.018755308956568,1.8009227451800849,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,12,12,5,12,1.0,3,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0156156118868091,0.016121400266028,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1051.0,0.8667935299714558,0.3501427212178877,0.1227402473834443,0.0256898192197906,0.0
C0011,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,True,True,1199,418193,0.0028657231322031,1063,337646,0.0031462542268083,860,294889,0.0029143410642679,748,259776,0.0028771751790306,640,242709,0.0026348916423952,1199,1063,0.9108364822477052,3,2671,890.3333333333334,0.0029792568233689,0.961891942220186,0.9108364822477052,-0.0084115118858361,1,4,3,3122,0.0029754394744264,12,3,1.0,1370,2181,998.0,1.3723723723723724,0.6332284600463558,0.0029926536318481,0.9575859704263088,0.8945252254159463,0.8928056454302229,1.0,88.60554699537751,42.35362095531588,True,False,近期份额下降,2026Q2,0.8892056935285337,0.8273626951886086,0.9521823992273488,0.9070449685305852,1.0055461505221932,0.9448080869480896,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,796,0.0032077743724401,876,0.0027816036508349,0.8671444209833928,0.8273626951886086,False,False,False,补读15条：制氢证据与污染物净化4161242、过氧化氢合成4249875/4623019、甲烷转化4451075/4538064和CO2制甲酸4590738混合；两条高原相似度样本4147200/4349574同题同摘要，4390672题名残缺。当前1199条不能整体解释为光催化/光生物制氢，保留观察，先清理任务边界。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,5,5,2,5,1.0,3,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0070590048394655,0.0072876454231667,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1199.0,0.92743953294412,0.4687239366138448,0.1618015012510425,1.0,0.0
C0012,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源电力直接相关,True,True,503,418193,0.0012029108770856,419,337646,0.001241047153875,444,294889,0.0015054324265741,383,259776,0.0014741438626028,407,242709,0.0016763752447713,503,419,0.9692708881606188,3,1246,415.3333333333333,0.0014068744810173,0.8550235954353275,0.7175665954490702,-0.1121679165975848,2,4,3,1366,0.0013164634858449,12,3,1.0,731,1441,610.3333333333334,1.1973827699018538,0.4412596781121364,0.0013963476519179,0.8614694739046207,0.7767684298206542,0.9976686207474263,1.0,65.75500770416025,35.72419106317412,True,False,近期份额下降,2026Q2,0.7910664578497429,0.8913858148453233,0.8354489077723446,0.9593457401661292,0.8737225581029088,0.9862254705219152,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,286,0.0011538322130622,364,0.0011567536003757,1.002531899595459,0.7910664578497429,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,19,17,7,13,0.8947368421052632,6,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0601824396882079,0.0557592573810192,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,503.0,0.9085487077534792,0.1033797216699801,0.1172962226640159,1.0,0.0
C0013,集成电路与电子封装,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,301,418193,0.0007203130674107,194,337646,0.0005754080367787,180,294889,0.0006113173295762,168,259776,0.0006477007584056,154,242709,0.0006355827615145,301,194,1.251830042978216,3,542,180.66666666666663,0.0006114753749202,1.1779919469443036,1.1121078029672684,0.0820348739972387,3,4,3,675,0.0006356794779219,12,3,1.0,401,801,269.0,1.488888888888889,0.3630010113790348,0.0006077164870962,1.1852781398980083,1.029613602053889,0.009025456712696,0.036788546383272,54.06009244992296,72.39984591679506,False,False,平稳或增长证据不足,2026Q2,1.146405260142538,1.2783778148828608,1.139471248484513,1.1982022625894648,1.1206489334769592,1.1822585150386522,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,134,0.0005416769028163,239,0.0007600616935253,1.403164302508742,1.1206489334769592,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,260,253,7,220,0.9846153846153848,16,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,1.2235871867426027,1.22927460815967,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,301.0,0.7142857142857143,0.2259136212624584,0.1794019933554817,1.0,0.0
C0014,电池单体模组及用电器件混合,电化学储能,混杂待重分,质量限制观察,False,False,2,418193,5.972745169243707e-06,2,337646,7.395990189958612e-06,1,294889,5.080199414761028e-06,2,259776,9.609803537176486e-06,1,242709,6.170706422471244e-06,2,2,0.8075653179411708,3,5,1.6666666666666667,7.361997713965375e-06,0.8112940809413294,0.6215262514095679,0.0809280666830822,1,0,3,5,6.149644924654448e-06,0,0,0.0,4,6,1.6666666666666667,1.875,0.0889208432132506,6.161180975169321e-06,0.9694156353002704,0.2173837255016545,0.5751673717137521,1.0,4.322033898305086,38.21648690292759,False,False,近期份额下降,2026Q2,1.9785108198169925,3.8288822083899854,1.2098002340372525,0.8106288655787494,0.5161806211512489,0.5078187042166025,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,2,1.0068343918518909e-05,2,7.933838137007865e-06,0.7879983243733855,0.5078187042166025,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,2622,2530,8,627,0.8916857360793288,24,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,1180.0711656616934,1175.5545804016672,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,2.0,1.0,0.0,0.0,1.0,0.0
C0015,通用机器学习与优化算法,数字技术与测量,关联基础研究,关联基础或环境研究,True,False,1576,418193,0.003766413103725,1149,337646,0.0034006762893429,982,294889,0.0033275306166684,728,259776,0.0028002967507332,695,242709,0.0028611508778858,1576,1149,1.1075482590119667,3,2859,953.0,0.0031761678855815,1.1858356483053007,1.1075482590119667,0.061946322420936,3,4,3,3707,0.0034982066699121,12,3,1.0,1481,2667,1084.0,1.3658986175115206,0.4313524483408166,0.0032032539997266,1.175808444802213,1.1056929875099586,1.0667746954534425e-07,8.889789128778687e-07,85.462249614792,67.09167950693374,False,False,平稳或增长证据不足,2026Q2,1.2128985715401726,1.0587691671895787,1.1879232847737082,1.1188769703809884,1.2233176188913628,1.1434804081101848,1.221059139606009,1.1296439407706378,0.7381725333182875,0.8819710612701498,883,0.0035581527408045,1272,0.004038323611737,1.1349494824732689,1.0587691671895787,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,0,0,0,0,,0,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0004420230571024,0.0004563401474124,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1576.0,0.8191624365482234,0.940989847715736,0.2950507614213198,0.0101522842639593,0.0
C0016,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,关联基础或环境研究,True,False,1009,418193,0.0024117944993406,766,337646,0.0022676105922413,644,294889,0.0021827923485423,530,259776,0.0020392003105888,567,242709,0.0023345839298349,1009,766,1.0635840684430684,3,1940,646.6666666666666,0.0021632010837908,1.114919235854922,1.0330725181986125,0.0498830624869115,2,4,3,2419,0.002287399146708,12,3,1.0,1235,2458,954.6666666666666,1.293337983955354,0.3384269505854018,0.002173776669512,1.1094950705686013,1.028236177252497,0.0036009245403938,0.0159804343508604,72.81972265023113,58.8135593220339,False,False,平稳或增长证据不足,2026Q2,1.1909398077435709,1.1428220141827283,1.1113456992448616,1.0755761493326843,1.0629465333728207,1.0175778260487771,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,548,0.002208994655723,746,0.0023690440677105,1.072453508012274,1.0175778260487771,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,4,4,3,4,1.0,3,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0067813383274826,0.0070009853157949,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1009.0,0.7581764122893955,0.2249752229930624,0.1199207135777998,1.0,0.0
C0017,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,443,418193,0.0010595649930238,390,337646,0.0011552536676715,369,294889,0.0012514224558361,405,259776,0.00155871013373,411,242709,0.0016928304618979,443,390,0.917170854050984,3,1164,388.0,0.0013217954190792,0.8016104290646818,0.6259132363650196,-0.0832112145192245,2,4,3,1202,0.0011554137055105,12,3,1.0,475,1061,435.6666666666667,1.0900763358778625,0.2189953845966972,0.0013044900446517,0.812244598851416,0.7280978677309368,0.9999072947753088,1.0,54.56856702619415,30.223420647149464,True,False,近期份额下降,2026Q2,0.7065852943098498,0.8207693638810849,0.7814098945507987,0.8722634570111832,0.8064204942979135,0.9166204453542216,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,267,0.0010773127992815,321,0.0010202915844192,0.947070883312312,0.7065852943098498,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,31,30,6,30,1.0,8,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.1102204772325367,0.1101781122628991,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,443.0,0.7516930022573364,0.2437923250564334,0.164785553047404,1.0,0.0
C0018,电力智能算法与多场景辨识,数字技术与测量,混杂待重分,质量限制观察,False,False,770,418193,0.0018408000611609,472,337646,0.0013978421459021,353,294889,0.0011972336620786,290,259776,0.0011166591710199,257,242709,0.0010593046025242,770,472,1.3168869364522162,3,1115,371.6666666666667,0.0012372449930002,1.487821790813689,1.3168869364522162,0.2150933395118577,4,4,3,1595,0.0014786252897139,12,3,1.0,799,1385,457.6666666666667,1.744186046511628,0.3385401329390289,0.0012495995232366,1.473112006631545,1.34388386731739,4.0074291944005344e-17,6.830845217728183e-16,62.203389830508485,86.9337442218798,False,False,多年背景上持续抬升,2026Q2,1.5519932244855397,1.3453917247351934,1.4764834990656035,1.3117010915531324,1.420214598959262,1.2518194695779832,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,344,0.0013874177919719,617,0.0019596580198409,1.4124498267070116,1.2518194695779832,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1546,1491,8,1033,0.999353169469599,12,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,2.8173815937226654,2.805193092320791,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,770.0,0.7142857142857143,0.0077922077922077,0.1246753246753246,1.0,0.0
